gvkey,iid,datadate,tic,prccd,,,
1161,1,20170324,AMD,13.7,,,
1161,1,20170327,AMD,13.7,,,
1161,1,20170328,AMD,13.69,,,
1161,1,20170329,AMD,13.71,,,
1161,1,20170330,AMD,14.05,,,
1161,1,20170331,AMD,14.55,,,
1161,1,20170403,AMD,14.64,,,
1161,1,20170404,AMD,14.16,,,
1161,1,20170405,AMD,14.17,,,
1161,1,20170406,AMD,13.27,,,
1161,1,20170407,AMD,13.52,,,
1161,1,20170410,AMD,13.1,,,
1161,1,20170411,AMD,13.1,,,
1161,1,20170412,AMD,12.76,,,
1161,1,20170413,AMD,12.31,,,
1161,1,20170417,AMD,12.79,,,
1161,1,20170418,AMD,12.95,,,
1161,1,20170419,AMD,12.84,,,
1161,1,20170420,AMD,13.11,,,
1161,1,20170421,AMD,13,,,
1161,1,20170424,AMD,13.13,,,
1161,1,20170425,AMD,13.49,,,
1161,1,20170426,AMD,13.41,,,
1161,1,20170427,AMD,13.62,,,
1161,1,20170428,AMD,13.3,,,
1161,1,20170501,AMD,13.62,,,
1161,1,20170502,AMD,10.32,,,
1161,1,20170503,AMD,10.39,,,
1161,1,20170504,AMD,10.1,,,
1161,1,20170505,AMD,10.19,,,
1161,1,20170508,AMD,10.04,,,
1161,1,20170509,AMD,10.18,,,
1161,1,20170510,AMD,10.79,,,
1161,1,20170511,AMD,11.07,,,
1161,1,20170512,AMD,11.26,,,
1161,1,20170515,AMD,11.42,,,
1161,1,20170516,AMD,12.75,,,
1161,1,20170517,AMD,11.2,,,
1161,1,20170518,AMD,11.275,,,
1161,1,20170519,AMD,11.41,,,
1161,1,20170522,AMD,11.04,,,
1161,1,20170523,AMD,10.89,,,
1161,1,20170524,AMD,10.89,,,
1161,1,20170525,AMD,10.98,,,
1161,1,20170526,AMD,11,,,
1161,1,20170530,AMD,11.12,,,
1161,1,20170531,AMD,11.19,,,
1161,1,20170601,AMD,10.93,,,
1161,1,20170602,AMD,10.9,,,
1161,1,20170605,AMD,11.24,,,
1161,1,20170606,AMD,12.03,,,
